restaurant_id,latitude,longitude,nta,zone_id,in_nyc_nta,in_modeled_microzone
_llUDcpoZvywxw90E4Sghg,40.73717,-73.87709,QN29,nta-qn29,True,True
2UcFyzsiqtQ0fwekyXh9Vg,40.73367,-73.87013,QN29,nta-qn29,True,True
6ueCWq6Q6DKHXjMRb9bLVg,40.73700939524152,-73.87728758553314,QN29,nta-qn29,True,True
KjLccGWsq7DmEz-ZFZQ5fA,40.731883,-73.848715,QN17,qn-forest-hills,True,True
xWDk1Wymzd_-LRrDvpZAFg,40.7241691,-73.86955514815628,QN21,nta-qn21,True,True
hxI37DW6ccVHAfeZHNZdhQ,40.72901226256931,-73.86343996971846,QN18,qn-rego-middle,True,True
UBJURdoN6vdgeWaiyDZsbg,40.7322016,-73.8490401,QN17,qn-forest-hills,True,True
u5A6jtnRoqrYqmqpw8Ks5w,40.734264,-73.8686757,QN29,nta-qn29,True,True
yh5r31lOitnlZKs7tOksRw,40.7264,-73.85139,QN17,qn-forest-hills,True,True
w3DiZbqZaCARXG3AsZ0Saw,40.729832669882455,-73.8606600167723,QN18,qn-rego-middle,True,True
SYTBg4SzYuZxrxK3YDU2xg,40.7275992341691,-73.8640816882253,QN18,qn-rego-middle,True,True
I9n187ZkrpBEXZz91PyCHw,40.727038,-73.855084,QN17,qn-forest-hills,True,True
vubOvDbIfOMx8z5ueBj9Bw,40.7289298,-73.8634311,QN18,qn-rego-middle,True,True
5RCrpBnI_3UdabG1lieknA,40.7325468388103,-73.8561887462805,QN17,qn-forest-hills,True,True
12rwCizKQ_a44MTBogqNXw,40.7429886,-73.8830032,QN29,nta-qn29,True,True
GWyQitBVsPgwat_dklASoA,40.73393170274184,-73.8734542116567,QN29,nta-qn29,True,True
zv3QIA-xGfegH9EGpxgriQ,40.7293015,-73.8631973,QN18,qn-rego-middle,True,True
HHkTmzDBE9sGWvtSW9Ne8A,40.736536,-73.878328,QN29,nta-qn29,True,True
fQw2GlDqPgAZYn948BAxiw,40.72892,-73.86344,QN18,qn-rego-middle,True,True
LuLMfTnGtiz6U87orjXOPA,40.7258422,-73.8594798,QN18,qn-rego-middle,True,True
hGt7GX5BPmsGkPuySt9UIA,40.7271548485155,-73.8646486401558,QN18,qn-rego-middle,True,True
1INHbSXoe7chA_8rnrQ_jg,40.726106,-73.865279,QN18,qn-rego-middle,True,True
EWEFEEsxHJ78d5Retd_jMw,40.73136,-73.86208,QN18,qn-rego-middle,True,True
S4SzD0dzdzNO7FW8JM0dkQ,40.726435,-73.853431,QN17,qn-forest-hills,True,True
9KZ_e_b21KUK2Pi3OmqohA,40.740094754565,-73.87799442883664,QN29,nta-qn29,True,True
TJhgvNJuAzmyYzaMyMnN0Q,40.71745,-73.85674,QN17,qn-forest-hills,True,True
SJjKukNGNdc6LPI96b1DYQ,40.73246,-73.85659,QN17,qn-forest-hills,True,True
ww-R8xbG54oHgsMpYJ9UNA,40.74148,-73.87479,QN29,nta-qn29,True,True
yWvArw42GlQxLdkPYzO6Hw,40.72402,-73.86948,QN21,nta-qn21,True,True
BbzVXf9Kso5Lam2OzUeE6g,40.73190221764431,-73.84882117939247,QN17,qn-forest-hills,True,True
GFzGPU82PvdnCBBz0jFmSA,40.7327028682273,-73.8495482395547,QN17,qn-forest-hills,True,True
ErTpSfwsU89fQ-Qod_c_RA,40.721807,-73.86738,QN21,nta-qn21,True,True
OYeIasyGnl8DL8zgYVW3ow,40.72663264284913,-73.85166508090678,QN17,qn-forest-hills,True,True
8LoTjd9k3V7a9lCLc3xhCw,40.739226,-73.871358,QN29,nta-qn29,True,True
sCzOiPDxMtLV8mP7MC92gQ,40.72906,-73.86319,QN18,qn-rego-middle,True,True
HygCKfQcUKuTD0gAyvfbTQ,40.7270122,-73.85493881432538,QN17,qn-forest-hills,True,True
a2-uV3CwLBvPpdvmfwJXbA,40.728854,-73.860054,QN18,qn-rego-middle,True,True
gMVzmOZUASWE1ewiJcG6LA,40.73787,-73.86285,QN25,nta-qn25,True,True
S95sZBrBAX4Dbtr1LzTV-Q,40.73663416064115,-73.8576448,QN25,nta-qn25,True,True
6dyKXqj3ih8qaZlgSMsXGw,40.7319475,-73.8492845,QN17,qn-forest-hills,True,True
Yh2VtHjXK5NQ9t72GAcUrg,40.734025,-73.8691667,QN29,nta-qn29,True,True
hNLfVfnhexy7qegeYY6tkQ,40.71745786818442,-73.8568154,QN17,qn-forest-hills,True,True
cVrxQL6ac-_ZQ3zbOb7FIg,40.72864180172179,-73.85489550000001,QN17,qn-forest-hills,True,True
jaltLUsCUn_7psy_iSZ5fA,40.7334193,-73.8496439,QN17,qn-forest-hills,True,True
LdTaiycrLMQJ7GdBnQrhbg,40.74148,-73.87479,QN29,nta-qn29,True,True
trAw3RgUySMZGb5Dh1CAEA,40.74148,-73.87479,QN29,nta-qn29,True,True
cM8Bg5Z3QsPYDFu2aufsCg,40.73419208205902,-73.85007027874299,QN17,qn-forest-hills,True,True
K_MhuPOn1R0l4pPZUmbW0A,40.74148,-73.87479,QN29,nta-qn29,True,True
